THICKNESS (CM),BASE BOUNDARY,LITHOLOGY,LITHOLOGY %,LITHOLOGY2,LITHOLOGY2 %,LITHOLOGY3,LITHOLOGY3 %,GRAIN SIZE BASE,PHI VALUES BASE,GRAIN SIZE TOP,PHI VALUES TOP,SYMBOLS IN BED,SYMBOLS/STRUCTURES,NOTES COLUMN,BIOTURBATION TYPE,INTENSITY,PALAEOCURRENT VALUES,FACIES,OTHER1 TEXT,OTHER1 SYMBOL,OTHER2 TEXT,OTHER2 SYMBOL,OTHER3 TEXT,OTHER3 SYMBOL
3.0,<none>,,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
12.0,<none>,Mudstone,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Mudstone,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
15.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
9.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
12.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
12.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
12.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
9.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
18.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
9.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
12.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
27.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
12.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
12.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
9.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
18.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
45.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
21.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
57.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
21.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
9.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
21.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Breccia,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
21.0,<none>,Sandstone,100,<none>,0,<none>,0,f,0.0,f,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
15.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
9.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
12.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
9.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
12.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
13.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
8.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
36.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
9.0,<none>,Conglomerate,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Conglomerate,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
12.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
12.0,<none>,Conglomerate,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
15.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
21.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
15.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
15.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
24.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
12.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
6.0,<none>,Sandstone,100,<none>,0,<none>,0,f,0.0,f,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
15.0,<none>,Sandstone,100,<none>,0,<none>,0,m,0.0,m,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
9.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
3.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
9.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
15.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.0,c,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
12.0,<none>,Sandstone,100,<none>,0,<none>,0,granule,0.0,granule,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
18.0,<none>,Sandstone,100,<none>,0,<none>,0,f,0.0,f,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
